MOL_ID	molecule_name	target_name
MOL000116	Nonanal	Alcohol dehydrogenase 1B
MOL000116	Nonanal	Alcohol dehydrogenase 1C
MOL000116	Nonanal	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL000116	Nonanal	Gamma-aminobutyric acid receptor subunit alpha-1
MOL000116	Nonanal	Cytochrome P450-cam
MOL000117	Cymol	Sodium-dependent noradrenaline transporter
MOL000117	Cymol	Lysozyme
MOL000121	Decanal	Alcohol dehydrogenase 1B
MOL000121	Decanal	Alcohol dehydrogenase 1C
MOL001224	Tridecylene	Progesterone receptor
MOL001224	Tridecylene	Mineralocorticoid receptor
MOL000125	(-)-alpha-Pinene	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL000125	(-)-alpha-Pinene	Gamma-aminobutyric acid receptor subunit alpha-1
MOL000125	(-)-alpha-Pinene	Cytochrome P450-cam
MOL001273	80-57-9	Muscarinic acetylcholine receptor M3
MOL001273	80-57-9	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL001273	80-57-9	Cytochrome P450-cam
MOL001273	80-57-9	Muscarinic acetylcholine receptor M2
MOL001306	o-Acetyl-p-cresol	Prostaglandin G/H synthase 1
MOL001306	o-Acetyl-p-cresol	Prostaglandin G/H synthase 2
MOL001306	o-Acetyl-p-cresol	Amine oxidase [flavin-containing] B
MOL001306	o-Acetyl-p-cresol	Lysozyme
MOL001306	o-Acetyl-p-cresol	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL001306	o-Acetyl-p-cresol	Progesterone receptor
MOL001306	o-Acetyl-p-cresol	Glucocorticoid receptor
MOL001306	o-Acetyl-p-cresol	Nuclear receptor coactivator 2
MOL001388	(+)-Ledol	Muscarinic acetylcholine receptor M3
MOL001388	(+)-Ledol	Muscarinic acetylcholine receptor M1
MOL001388	(+)-Ledol	Muscarinic acetylcholine receptor M2
MOL001388	(+)-Ledol	Gamma-aminobutyric acid receptor subunit alpha-1
MOL001388	(+)-Ledol	Alpha-1B adrenergic receptor
MOL001388	(+)-Ledol	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL001388	(+)-Ledol	Gamma-aminobutyric-acid receptor alpha-3 subunit
MOL001388	(+)-Ledol	Gamma-aminobutyric-acid receptor subunit alpha-6
MOL001578	Hypnon	Alcohol dehydrogenase 1B
MOL001578	Hypnon	Alcohol dehydrogenase 1C
MOL001578	Hypnon	Alcohol dehydrogenase 1A
MOL001578	Hypnon	Lysozyme
MOL001578	Hypnon	Bacillolysin
MOL001578	Hypnon	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL001578	Hypnon	Trypsin-3
MOL000162	beta-Chamigrene	Prostaglandin G/H synthase 2
MOL000162	beta-Chamigrene	Sodium-dependent noradrenaline transporter
MOL000162	beta-Chamigrene	Amine oxidase [flavin-containing] B
MOL000162	beta-Chamigrene	Nuclear receptor coactivator 2
MOL000162	beta-Chamigrene	Prostaglandin G/H synthase 1
MOL000162	beta-Chamigrene	Muscarinic acetylcholine receptor M3
MOL000162	beta-Chamigrene	Muscarinic acetylcholine receptor M1
MOL000162	beta-Chamigrene	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL000162	beta-Chamigrene	Retinoic acid receptor RXR-alpha
MOL000162	beta-Chamigrene	Gamma-aminobutyric-acid receptor alpha-3 subunit
MOL000162	beta-Chamigrene	Muscarinic acetylcholine receptor M2
MOL000162	beta-Chamigrene	Alpha-1B adrenergic receptor
MOL000162	beta-Chamigrene	Gamma-aminobutyric acid receptor subunit alpha-1
MOL000162	beta-Chamigrene	Gamma-aminobutyric-acid receptor subunit alpha-6
MOL000162	beta-Chamigrene	Neuronal acetylcholine receptor subunit alpha-2
MOL000162	beta-Chamigrene	Neuronal acetylcholine receptor protein, alpha-7 chain
MOL000162	beta-Chamigrene	Gamma-aminobutyric-acid receptor alpha-5 subunit
MOL000162	beta-Chamigrene	Alpha-1A adrenergic receptor
MOL000162	beta-Chamigrene	Gamma-aminobutyric-acid receptor subunit alpha-4
MOL001640	NON	Phospholipase A2
MOL001640	NON	Alcohol dehydrogenase 1B
MOL001640	NON	Alcohol dehydrogenase 1C
MOL001640	NON	Ig gamma-1 chain C region
MOL001640	NON	3-oxoacyl-[acyl-carrier-protein] synthase 1
MOL001640	NON	Bacillolysin
MOL001788	adenine	Purine nucleoside phosphorylase
MOL001788	adenine	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL001788	adenine	Purine nucleoside phosphorylase deoD-type
MOL001788	adenine	Putative adenosylhomocysteinase 2
MOL000197	Myrcene	Alcohol dehydrogenase 1C
MOL000197	Myrcene	Gamma-aminobutyric acid receptor subunit alpha-1
MOL000199	Safrol	Prostaglandin G/H synthase 1
MOL000199	Safrol	Muscarinic acetylcholine receptor M1
MOL000199	Safrol	Beta-1 adrenergic receptor
MOL000199	Safrol	Prostaglandin G/H synthase 2
MOL000199	Safrol	Alpha-2A adrenergic receptor
MOL000199	Safrol	Alpha-2C adrenergic receptor
MOL000199	Safrol	Sodium-dependent noradrenaline transporter
MOL000199	Safrol	Alpha-1A adrenergic receptor
MOL000199	Safrol	Muscarinic acetylcholine receptor M2
MOL000199	Safrol	Alpha-1B adrenergic receptor
MOL000199	Safrol	Sodium-dependent dopamine transporter
MOL000199	Safrol	Beta-2 adrenergic receptor
MOL000199	Safrol	Beta-lactamase
MOL000199	Safrol	Leukotriene A-4 hydrolase
MOL000199	Safrol	Amine oxidase [flavin-containing] B
MOL000199	Safrol	Amine oxidase [flavin-containing] A
MOL000199	Safrol	Alpha-2B adrenergic receptor
MOL000199	Safrol	Alpha-1D adrenergic receptor
MOL000199	Safrol	Cell division protein kinase 2
MOL000199	Safrol	Chymotrypsinogen B
MOL000199	Safrol	Lysozyme
MOL000202	Moslene	Prostaglandin G/H synthase 2
MOL000202	Moslene	Acetylcholinesterase
MOL000202	Moslene	Gamma-aminobutyric acid receptor subunit alpha-1
MOL000202	Moslene	Dipeptidyl peptidase IV
MOL000202	Moslene	Alcohol dehydrogenase 1C
MOL000202	Moslene	Cytochrome P450-cam
MOL000202	Moslene	Alcohol dehydrogenase 1A
MOL000202	Moslene	Alcohol dehydrogenase 1B
MOL002029	()-Cuparene	Muscarinic acetylcholine receptor M3
MOL002029	()-Cuparene	Thrombin
MOL002029	()-Cuparene	Muscarinic acetylcholine receptor M1
MOL002029	()-Cuparene	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL002029	()-Cuparene	Acetylcholinesterase
MOL002029	()-Cuparene	Gamma-aminobutyric-acid receptor alpha-5 subunit
MOL002029	()-Cuparene	Gamma-aminobutyric-acid receptor alpha-3 subunit
MOL002029	()-Cuparene	Muscarinic acetylcholine receptor M2
MOL002029	()-Cuparene	Alpha-1B adrenergic receptor
MOL002029	()-Cuparene	Gamma-aminobutyric acid receptor subunit alpha-1
MOL002029	()-Cuparene	Dipeptidyl peptidase IV
MOL002029	()-Cuparene	Glutamate receptor 2
MOL002029	()-Cuparene	Gamma-aminobutyric-acid receptor subunit alpha-6
MOL002029	()-Cuparene	Prostaglandin G/H synthase 1
MOL002029	()-Cuparene	Dopamine D1 receptor
MOL002029	()-Cuparene	Sodium channel protein type 5 subunit alpha
MOL002029	()-Cuparene	Prostaglandin G/H synthase 2
MOL002029	()-Cuparene	Retinoic acid receptor RXR-alpha
MOL002029	()-Cuparene	Sodium-dependent noradrenaline transporter
MOL002029	()-Cuparene	Alpha-1A adrenergic receptor
MOL002029	()-Cuparene	Sodium-dependent dopamine transporter
MOL002029	()-Cuparene	Beta-2 adrenergic receptor
MOL002029	()-Cuparene	Sodium-dependent serotonin transporter
MOL002029	()-Cuparene	CGMP-inhibited 3',5'-cyclic phosphodiesterase A
MOL002029	()-Cuparene	Alpha-1D adrenergic receptor
MOL002029	()-Cuparene	Neuronal acetylcholine receptor subunit alpha-2
