Drug	MolId	MolName	Target
Danggui	MOL000358	beta-sitosterol	Progesterone receptor
Danggui	MOL000358	beta-sitosterol	Nuclear receptor coactivator 2
Danggui	MOL000358	beta-sitosterol	Prostaglandin G/H synthase 1
Danggui	MOL000358	beta-sitosterol	Prostaglandin G/H synthase 2
Danggui	MOL000358	beta-sitosterol	Heat shock protein HSP 90
Danggui	MOL000358	beta-sitosterol	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform
Danggui	MOL000358	beta-sitosterol	Potassium voltage-gated channel subfamily H member 2
Danggui	MOL000358	beta-sitosterol	mRNA of PKA Catalytic Subunit C-alpha
Danggui	MOL000358	beta-sitosterol	Dopamine D1 receptor
Danggui	MOL000358	beta-sitosterol	Muscarinic acetylcholine receptor M3
Danggui	MOL000358	beta-sitosterol	Muscarinic acetylcholine receptor M1
Danggui	MOL000358	beta-sitosterol	Sodium channel protein type 5 subunit alpha
Danggui	MOL000358	beta-sitosterol	Gamma-aminobutyric-acid receptor alpha-2 subunit
Danggui	MOL000358	beta-sitosterol	Muscarinic acetylcholine receptor M4
Danggui	MOL000358	beta-sitosterol	CGMP-inhibited 3',5'-cyclic phosphodiesterase A
Danggui	MOL000358	beta-sitosterol	5-hydroxytryptamine 2A receptor
Danggui	MOL000358	beta-sitosterol	Gamma-aminobutyric-acid receptor alpha-5 subunit
Danggui	MOL000358	beta-sitosterol	Alpha-1A adrenergic receptor
Danggui	MOL000358	beta-sitosterol	Gamma-aminobutyric-acid receptor alpha-3 subunit
Danggui	MOL000358	beta-sitosterol	Muscarinic acetylcholine receptor M2
Danggui	MOL000358	beta-sitosterol	Alpha-1B adrenergic receptor
Danggui	MOL000358	beta-sitosterol	Beta-2 adrenergic receptor
Danggui	MOL000358	beta-sitosterol	Neuronal acetylcholine receptor subunit alpha-2
Danggui	MOL000358	beta-sitosterol	Sodium-dependent serotonin transporter
Danggui	MOL000358	beta-sitosterol	Mu-type opioid receptor
Danggui	MOL000358	beta-sitosterol	Gamma-aminobutyric acid receptor subunit alpha-1
Danggui	MOL000358	beta-sitosterol	Neuronal acetylcholine receptor protein, alpha-7 chain
Danggui	MOL000358	beta-sitosterol	Cytochrome P450-cam
Danggui	MOL000358	beta-sitosterol	Apoptosis regulator Bcl-2
Danggui	MOL000358	beta-sitosterol	Apoptosis regulator BAX
Danggui	MOL000358	beta-sitosterol	Caspase-9
Danggui	MOL000358	beta-sitosterol	Transcription factor AP-1
Danggui	MOL000358	beta-sitosterol	Caspase-3
Danggui	MOL000358	beta-sitosterol	Caspase-8
Danggui	MOL000358	beta-sitosterol	Protein kinase C alpha type
Danggui	MOL000358	beta-sitosterol	Transforming growth factor beta-1
Danggui	MOL000358	beta-sitosterol	Serum paraoxonase/arylesterase 1
Danggui	MOL000358	beta-sitosterol	Microtubule-associated protein 2
Danggui	MOL000449	Stigmasterol	Progesterone receptor
Danggui	MOL000449	Stigmasterol	Mineralocorticoid receptor
Danggui	MOL000449	Stigmasterol	Nuclear receptor coactivator 2
Danggui	MOL000449	Stigmasterol	Alcohol dehydrogenase 1C
Danggui	MOL000449	Stigmasterol	Ig gamma-1 chain C region
Danggui	MOL000449	Stigmasterol	Retinoic acid receptor RXR-alpha
Danggui	MOL000449	Stigmasterol	Nuclear receptor coactivator 1
Danggui	MOL000449	Stigmasterol	Prostaglandin G/H synthase 1
