MOL_ID	molecule_name	target_name
MOL000105	protocatechuic acid	Prostaglandin G/H synthase 1
MOL000105	protocatechuic acid	Arachidonate 5-lipoxygenase
MOL000105	protocatechuic acid	Prostaglandin G/H synthase 2
MOL000105	protocatechuic acid	Amine oxidase [flavin-containing] B
MOL000105	protocatechuic acid	Lysozyme
MOL000105	protocatechuic acid	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL000105	protocatechuic acid	Alcohol dehydrogenase 1C
MOL000105	protocatechuic acid	Trypsin-3
MOL000105	protocatechuic acid	Protein kinase C alpha type
MOL000105	protocatechuic acid	Protein kinase C beta type
MOL000105	protocatechuic acid	Protein kinase C gamma type
MOL000105	protocatechuic acid	Maltase-glucoamylase, intestinal
MOL000105	protocatechuic acid	Protein kinase C zeta type
MOL001097	o-xylene	Alcohol dehydrogenase 1C
MOL001097	o-xylene	Lysozyme
MOL001097	o-xylene	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL001097	o-xylene	Cytochrome P450 2B1
MOL001097	o-xylene	Cytochrome P450 1A1
MOL001098	m-xylene	Alcohol dehydrogenase 1B
MOL001098	m-xylene	Alcohol dehydrogenase 1C
MOL001098	m-xylene	Lysozyme
MOL001098	m-xylene	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL001098	m-xylene	Cytochrome P450 2B1
MOL001098	m-xylene	Cytochrome P450 2E1
MOL001098	m-xylene	Cytochrome P450 4B1
MOL001099	p-xylene	Alcohol dehydrogenase 1C
MOL001099	p-xylene	Lysozyme
MOL001099	p-xylene	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL001099	p-xylene	Alcohol dehydrogenase 1B
MOL001099	p-xylene	Retinoic acid receptor RXR-alpha
MOL001099	p-xylene	Progesterone receptor
MOL001099	p-xylene	Mineralocorticoid receptor
MOL001099	p-xylene	Glucocorticoid receptor
MOL001099	p-xylene	Nuclear receptor coactivator 2
MOL001099	p-xylene	Nuclear receptor coactivator 1
MOL001099	p-xylene	Cytochrome P450 2E1
MOL001099	p-xylene	Cytochrome P450 2D6
MOL000118	(L)-alpha-Terpineol	Muscarinic acetylcholine receptor M3
MOL000118	(L)-alpha-Terpineol	Muscarinic acetylcholine receptor M1
MOL000118	(L)-alpha-Terpineol	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL000118	(L)-alpha-Terpineol	Gamma-aminobutyric-acid receptor alpha-5 subunit
MOL000118	(L)-alpha-Terpineol	Sodium-dependent noradrenaline transporter
MOL000118	(L)-alpha-Terpineol	Gamma-aminobutyric-acid receptor alpha-3 subunit
MOL000118	(L)-alpha-Terpineol	Muscarinic acetylcholine receptor M2
MOL000118	(L)-alpha-Terpineol	Alpha-1B adrenergic receptor
MOL000118	(L)-alpha-Terpineol	Sodium-dependent dopamine transporter
MOL000118	(L)-alpha-Terpineol	Gamma-aminobutyric acid receptor subunit alpha-1
MOL000118	(L)-alpha-Terpineol	Gamma-aminobutyric-acid receptor subunit alpha-6
MOL000118	(L)-alpha-Terpineol	Prostaglandin G/H synthase 1
MOL000118	(L)-alpha-Terpineol	Sodium channel protein type 5 subunit alpha
MOL000118	(L)-alpha-Terpineol	Coagulation factor Xa
MOL000118	(L)-alpha-Terpineol	Prostaglandin G/H synthase 2
MOL000118	(L)-alpha-Terpineol	DNA topoisomerase II
MOL000118	(L)-alpha-Terpineol	Heat shock protein HSP 90
MOL000118	(L)-alpha-Terpineol	Nuclear receptor coactivator 2
MOL000118	(L)-alpha-Terpineol	Calcium-activated potassium channel subunit alpha 1
MOL000118	(L)-alpha-Terpineol	Cytochrome P450-cam
MOL000118	(L)-alpha-Terpineol	Alpha-1A adrenergic receptor
MOL000118	(L)-alpha-Terpineol	Ig gamma-1 chain C region
MOL000012	Arachic acid	Prostaglandin G/H synthase 1
MOL000012	Arachic acid	Prostaglandin G/H synthase 2
MOL000012	Arachic acid	Coagulation factor VII
MOL000012	Arachic acid	mRNA of Protein-tyrosine phosphatase, non-receptor type 1
MOL000012	Arachic acid	Heat shock protein HSP 90
MOL000012	Arachic acid	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform
MOL000012	Arachic acid	Ig gamma-1 chain C region
MOL000012	Arachic acid	Nuclear receptor coactivator 2
MOL001484	Inermine	Prostaglandin G/H synthase 1
MOL001484	Inermine	Muscarinic acetylcholine receptor M3
MOL001484	Inermine	Sodium channel protein type 5 subunit alpha
MOL001484	Inermine	Prostaglandin G/H synthase 2
MOL001484	Inermine	5-hydroxytryptamine receptor 3A
MOL001484	Inermine	Retinoic acid receptor RXR-alpha
MOL001484	Inermine	Alpha-1B adrenergic receptor
MOL001484	Inermine	Alpha-1D adrenergic receptor
MOL001484	Inermine	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform
MOL001484	Inermine	mRNA of PKA Catalytic Subunit C-alpha
MOL001484	Inermine	Ig gamma-1 chain C region
MOL001484	Inermine	Trypsin-1
MOL001484	Inermine	Calmodulin
MOL001484	Inermine	Muscarinic acetylcholine receptor M1
MOL001484	Inermine	Beta-2 adrenergic receptor
MOL001484	Inermine	Mu-type opioid receptor
MOL001484	Inermine	Heat shock protein HSP 90
MOL001543	Vicenin-2	DNA topoisomerase II
MOL001599	α-cubebol	Muscarinic acetylcholine receptor M3
MOL001599	α-cubebol	Muscarinic acetylcholine receptor M1
MOL001599	α-cubebol	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL001599	α-cubebol	Gamma-aminobutyric-acid receptor alpha-5 subunit
MOL001599	α-cubebol	Sodium-dependent noradrenaline transporter
MOL001599	α-cubebol	Muscarinic acetylcholine receptor M2
MOL001599	α-cubebol	Alpha-1B adrenergic receptor
MOL001599	α-cubebol	Gamma-aminobutyric acid receptor subunit alpha-1
MOL001599	α-cubebol	Neuronal acetylcholine receptor protein, alpha-7 chain
MOL001599	α-cubebol	Glutamate receptor 2
MOL001599	α-cubebol	Gamma-aminobutyric-acid receptor subunit alpha-6
MOL001599	α-cubebol	Gamma-aminobutyric-acid receptor alpha-3 subunit
MOL001696	Morusin	Estrogen receptor
MOL001696	Morusin	Androgen receptor
MOL001696	Morusin	Coagulation factor Xa
MOL001696	Morusin	Prostaglandin G/H synthase 2
MOL001696	Morusin	Vascular endothelial growth factor receptor 2
MOL001696	Morusin	DNA topoisomerase II
MOL001696	Morusin	Heat shock protein HSP 90
MOL001696	Morusin	Trypsin-1
MOL001696	Morusin	Proto-oncogene serine/threonine-protein kinase Pim-1
MOL001696	Morusin	Nuclear receptor coactivator 2
MOL001696	Morusin	Calmodulin
MOL001696	Morusin	Calcium-activated potassium channel subunit alpha 1
MOL001737	ICO	Prostaglandin G/H synthase 2
MOL001737	ICO	Cathepsin D
MOL001737	ICO	Amine oxidase [flavin-containing] B
MOL001737	ICO	Queuine tRNA-ribosyltransferase
MOL001789	isoliquiritigenin	Prostaglandin G/H synthase 1
MOL001789	isoliquiritigenin	Estrogen receptor
MOL001789	isoliquiritigenin	Peroxisome proliferator activated receptor gamma
MOL001789	isoliquiritigenin	Prostaglandin G/H synthase 2
MOL001789	isoliquiritigenin	Carbonic anhydrase II
MOL001789	isoliquiritigenin	Beta-2 adrenergic receptor
MOL001789	isoliquiritigenin	Estrogen receptor beta
MOL001789	isoliquiritigenin	Mitogen-activated protein kinase 14
MOL001789	isoliquiritigenin	Glycogen synthase kinase-3 beta
