MOL_ID	molecule_name	target_name
MOL000103	PHB	Amine oxidase [flavin-containing] B
MOL000103	PHB	Amine oxidase [flavin-containing] A
MOL000103	PHB	Alcohol dehydrogenase 1C
MOL000103	PHB	Lysozyme
MOL000103	PHB	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL000103	PHB	Alcohol dehydrogenase 1B
MOL000103	PHB	P-hydroxybenzoate hydroxylase
MOL000103	PHB	Group IIE secretory phospholipase A2
MOL000105	protocatechuic acid	Prostaglandin G/H synthase 1
MOL000105	protocatechuic acid	Arachidonate 5-lipoxygenase
MOL000105	protocatechuic acid	Prostaglandin G/H synthase 2
MOL000105	protocatechuic acid	Amine oxidase [flavin-containing] B
MOL000105	protocatechuic acid	Lysozyme
MOL000105	protocatechuic acid	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MOL000105	protocatechuic acid	Alcohol dehydrogenase 1C
MOL000105	protocatechuic acid	Trypsin-3
MOL000105	protocatechuic acid	Protein kinase C alpha type
MOL000105	protocatechuic acid	Protein kinase C beta type
MOL000105	protocatechuic acid	Protein kinase C gamma type
MOL000105	protocatechuic acid	Maltase-glucoamylase, intestinal
MOL000105	protocatechuic acid	Protein kinase C zeta type
MOL001123	muurolene	Prostaglandin G/H synthase 1
MOL001123	muurolene	Muscarinic acetylcholine receptor M1
MOL001123	muurolene	Prostaglandin G/H synthase 2
MOL001123	muurolene	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL001123	muurolene	Retinoic acid receptor RXR-alpha
MOL001123	muurolene	Sodium-dependent noradrenaline transporter
MOL001123	muurolene	Alpha-1B adrenergic receptor
MOL001123	muurolene	Gamma-aminobutyric acid receptor subunit alpha-1
MOL001123	muurolene	Amine oxidase [flavin-containing] B
MOL001123	muurolene	Nuclear receptor coactivator 2
MOL000116	Nonanal	Alcohol dehydrogenase 1B
MOL000116	Nonanal	Alcohol dehydrogenase 1C
MOL000116	Nonanal	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL000116	Nonanal	Gamma-aminobutyric acid receptor subunit alpha-1
MOL000116	Nonanal	Cytochrome P450-cam
MOL001168	(1S,2S)-2-isopropenyl-4-isopropylidene-1-methyl-1-vinylcyclohexane	Prostaglandin G/H synthase 1
MOL001168	(1S,2S)-2-isopropenyl-4-isopropylidene-1-methyl-1-vinylcyclohexane	Prostaglandin G/H synthase 2
MOL001168	(1S,2S)-2-isopropenyl-4-isopropylidene-1-methyl-1-vinylcyclohexane	Gamma-aminobutyric-acid receptor alpha-2 subunit
MOL001168	(1S,2S)-2-isopropenyl-4-isopropylidene-1-methyl-1-vinylcyclohexane	Retinoic acid receptor RXR-alpha
