Drug	MolId	MolName	Target
Danggui	MOL000358	beta-sitosterol	PGR
Danggui	MOL000358	beta-sitosterol	NCOA2
Danggui	MOL000358	beta-sitosterol	PTGS1
Danggui	MOL000358	beta-sitosterol	PTGS2
Danggui	MOL000358	beta-sitosterol	HSP90AA1
Danggui	MOL000358	beta-sitosterol	KCNH2
Danggui	MOL000358	beta-sitosterol	DRD1
Danggui	MOL000358	beta-sitosterol	CHRM3
Danggui	MOL000358	beta-sitosterol	CHRM1
Danggui	MOL000358	beta-sitosterol	SCN5A
Danggui	MOL000358	beta-sitosterol	CHRM4
Danggui	MOL000358	beta-sitosterol	ADRA1A
Danggui	MOL000358	beta-sitosterol	CHRM2
Danggui	MOL000358	beta-sitosterol	ADRA1B
Danggui	MOL000358	beta-sitosterol	ADRB2
Danggui	MOL000358	beta-sitosterol	CHRNA2
Danggui	MOL000358	beta-sitosterol	SLC6A4
Danggui	MOL000358	beta-sitosterol	OPRM1
Danggui	MOL000358	beta-sitosterol	GABRA1
Danggui	MOL000358	beta-sitosterol	BCL2
Danggui	MOL000358	beta-sitosterol	BAX
Danggui	MOL000358	beta-sitosterol	CASP9
Danggui	MOL000358	beta-sitosterol	CASP3
Danggui	MOL000358	beta-sitosterol	CASP8
Danggui	MOL000358	beta-sitosterol	PRKCA
Danggui	MOL000358	beta-sitosterol	PON1
Danggui	MOL000358	beta-sitosterol	MAP2
Danggui	MOL000449	Stigmasterol	PGR
Danggui	MOL000449	Stigmasterol	NR3C2
Danggui	MOL000449	Stigmasterol	NCOA2
Danggui	MOL000449	Stigmasterol	ADH1C
Danggui	MOL000449	Stigmasterol	IGHG1
Danggui	MOL000449	Stigmasterol	RXRA
Danggui	MOL000449	Stigmasterol	NCOA1
Danggui	MOL000449	Stigmasterol	PTGS1
Danggui	MOL000449	Stigmasterol	PTGS2
Danggui	MOL000449	Stigmasterol	ADRA2A
Danggui	MOL000449	Stigmasterol	SLC6A2
Danggui	MOL000449	Stigmasterol	SLC6A3
Danggui	MOL000449	Stigmasterol	ADRB2
Danggui	MOL000449	Stigmasterol	AKR1B1
Danggui	MOL000449	Stigmasterol	PLAU
Danggui	MOL000449	Stigmasterol	LTA4H
Danggui	MOL000449	Stigmasterol	MAOB
Danggui	MOL000449	Stigmasterol	MAOA
Danggui	MOL000449	Stigmasterol	CTRB1
Danggui	MOL000449	Stigmasterol	CHRM3
Danggui	MOL000449	Stigmasterol	CHRM1
Danggui	MOL000449	Stigmasterol	ADRB1
Danggui	MOL000449	Stigmasterol	SCN5A
Danggui	MOL000449	Stigmasterol	ADRA1A
Danggui	MOL000449	Stigmasterol	CHRM2
Danggui	MOL000449	Stigmasterol	ADRA1B
Danggui	MOL000449	Stigmasterol	GABRA1
gancao	MOL001484	Inermine	PTGS1
gancao	MOL001484	Inermine	CHRM3
gancao	MOL001484	Inermine	SCN5A
gancao	MOL001484	Inermine	PTGS2
gancao	MOL001484	Inermine	HTR3A
gancao	MOL001484	Inermine	RXRA
gancao	MOL001484	Inermine	ADRA1B
gancao	MOL001484	Inermine	ADRA1D
gancao	MOL001484	Inermine	IGHG1
gancao	MOL001484	Inermine	PRSS1
gancao	MOL001484	Inermine	CAMTA2
gancao	MOL001484	Inermine	CHRM1
gancao	MOL001484	Inermine	ADRB2
gancao	MOL001484	Inermine	OPRM1
gancao	MOL001484	Inermine	HSP90AA1
gancao	MOL001792	DFV	PTGS1
gancao	MOL001792	DFV	ESR1
gancao	MOL001792	DFV	PTGS2
gancao	MOL001792	DFV	RXRA
gancao	MOL001792	DFV	ADRB2
gancao	MOL001792	DFV	HSP90AA1
gancao	MOL001792	DFV	DPEP1
gancao	MOL001792	DFV	MAOB
gancao	MOL001792	DFV	SLC6A4
gancao	MOL001792	DFV	PKIA
gancao	MOL000211	Mairin	PGR
gancao	MOL002311	Glycyrol	NOS2
gancao	MOL002311	Glycyrol	ESR1
gancao	MOL002311	Glycyrol	PPARG
gancao	MOL002311	Glycyrol	PTGS2
gancao	MOL002311	Glycyrol	KDR
gancao	MOL002311	Glycyrol	MAPK14
gancao	MOL002311	Glycyrol	GSK3B
gancao	MOL002311	Glycyrol	CHEK1
gancao	MOL002311	Glycyrol	CCNA2
gancao	MOL000239	Jaranol	NOS2
gancao	MOL000239	Jaranol	PTGS1
gancao	MOL000239	Jaranol	AR
gancao	MOL000239	Jaranol	SCN5A
gancao	MOL000239	Jaranol	PTGS2
gancao	MOL000239	Jaranol	ESR2
gancao	MOL000239	Jaranol	DPP4
gancao	MOL000239	Jaranol	HSP90AA1
gancao	MOL000239	Jaranol	CDK2
gancao	MOL000239	Jaranol	CHEK1
gancao	MOL000239	Jaranol	PRSS1
gancao	MOL000239	Jaranol	NCOA2
gancao	MOL000239	Jaranol	CAMTA2
gancao	MOL002565	Medicarpin	NOS2
gancao	MOL002565	Medicarpin	PTGS1
gancao	MOL002565	Medicarpin	DRD1
gancao	MOL002565	Medicarpin	CHRM3
gancao	MOL002565	Medicarpin	CHRM1
gancao	MOL002565	Medicarpin	ESR1
gancao	MOL002565	Medicarpin	SCN5A
gancao	MOL002565	Medicarpin	CHRM5
gancao	MOL002565	Medicarpin	PTGS2
gancao	MOL002565	Medicarpin	CHRM4
gancao	MOL002565	Medicarpin	RXRA
gancao	MOL002565	Medicarpin	ADRA1A
gancao	MOL002565	Medicarpin	CHRM2
gancao	MOL002565	Medicarpin	ADRA1B
gancao	MOL002565	Medicarpin	SLC6A3
gancao	MOL002565	Medicarpin	ADRB2
gancao	MOL002565	Medicarpin	SLC6A4
gancao	MOL002565	Medicarpin	OPRM1
gancao	MOL002565	Medicarpin	ESR2
gancao	MOL002565	Medicarpin	DPP4
gancao	MOL002565	Medicarpin	MAPK10
gancao	MOL002565	Medicarpin	HSP90AA1
gancao	MOL002565	Medicarpin	CDK2
gancao	MOL002565	Medicarpin	PRSS1
gancao	MOL002565	Medicarpin	CCNA2
gancao	MOL002565	Medicarpin	CAMTA2
gancao	MOL002565	Medicarpin	OPRD1
gancao	MOL002565	Medicarpin	ADRA1D
gancao	MOL000354	isorhamnetin	NOS2
gancao	MOL000354	isorhamnetin	PTGS1
gancao	MOL000354	isorhamnetin	ESR1
gancao	MOL000354	isorhamnetin	AR
gancao	MOL000354	isorhamnetin	PPARG
gancao	MOL000354	isorhamnetin	PTGS2
gancao	MOL000354	isorhamnetin	ESR2
gancao	MOL000354	isorhamnetin	DPP4
gancao	MOL000354	isorhamnetin	MAPK14
gancao	MOL000354	isorhamnetin	GSK3B
gancao	MOL000354	isorhamnetin	HSP90AA1
gancao	MOL000354	isorhamnetin	CDK2
gancao	MOL000354	isorhamnetin	PRSS1
