Node	Type	jinyinhua	xuanshen	gancao	Danggui
PTGS1	gene	0	0	0	0
PTGS2	gene	0	0	0	0
HSP90AA1	gene	0	0	0	0
ADRB2	gene	0	0	0	0
SLC6A4	gene	0	0	0	0
BCL2	gene	0	0	0	0
BAX	gene	0	0	0	0
CASP9	gene	0	0	0	0
CASP3	gene	0	0	0	0
CASP8	gene	0	0	0	0
PRKCA	gene	0	0	0	0
PON1	gene	0	0	0	0
NR3C2	gene	0	0	0	0
RXRA	gene	0	0	0	0
AKR1B1	gene	0	0	0	0
PLAU	gene	0	0	0	0
LTA4H	gene	0	0	0	0
ESR1	gene	0	0	0	0
NOS2	gene	0	0	0	0
PPARG	gene	0	0	0	0
KDR	gene	0	0	0	0
MAPK14	gene	0	0	0	0
GSK3B	gene	0	0	0	0
CCNA2	gene	0	0	0	0
AR	gene	0	0	0	0
ESR2	gene	0	0	0	0
DPP4	gene	0	0	0	0
CDK2	gene	0	0	0	0
PPARD	gene	0	0	0	0
F7	gene	0	0	0	0
RELA	gene	0	0	0	0
NCF1	gene	0	0	0	0
OLR1	gene	0	0	0	0
IL4	gene	0	0	0	0
IKBKB	gene	0	0	0	0
AKT1	gene	0	0	0	0
TNF	gene	0	0	0	0
MAPK8	gene	0	0	0	0
MMP1	gene	0	0	0	0
STAT1	gene	0	0	0	0
HMOX1	gene	0	0	0	0
CYP3A4	gene	0	0	0	0
CYP1A2	gene	0	0	0	0
CYP1A1	gene	0	0	0	0
ICAM1	gene	0	0	0	0
SELE	gene	0	0	0	0
VCAM1	gene	0	0	0	0
NR1I2	gene	0	0	0	0
CYP1B1	gene	0	0	0	0
ALOX5	gene	0	0	0	0
HAS2	gene	0	0	0	0
GSTP1	gene	0	0	0	0
AHR	gene	0	0	0	0
SLC2A4	gene	0	0	0	0
INSR	gene	0	0	0	0
GSTM1	gene	0	0	0	0
GSTM2	gene	0	0	0	0
SLPI	gene	0	0	0	0
MAPK3	gene	0	0	0	0
MAPK1	gene	0	0	0	0
LDLR	gene	0	0	0	0
BAD	gene	0	0	0	0
SOD1	gene	0	0	0	0
CAT	gene	0	0	0	0
MTTP	gene	0	0	0	0
APOB	gene	0	0	0	0
HMGCR	gene	0	0	0	0
CYP19A1	gene	0	0	0	0
PPARA	gene	0	0	0	0
SREBF1	gene	0	0	0	0
GSR	gene	0	0	0	0
ABCC1	gene	0	0	0	0
ADIPOQ	gene	0	0	0	0
SOAT2	gene	0	0	0	0
CES1	gene	0	0	0	0
SOAT1	gene	0	0	0	0
BACE1	gene	0	0	0	0
CA2	gene	0	0	0	0
RXRB	gene	0	0	0	0
STAT3	gene	0	0	0	0
CCND1	gene	0	0	0	0
RB1	gene	0	0	0	0
CDK4	gene	0	0	0	0
FOSL2	gene	0	0	0	0
MMP3	gene	0	0	0	0
EGFR	gene	0	0	0	0
BCL2L1	gene	0	0	0	0
FOS	gene	0	0	0	0
CDKN1A	gene	0	0	0	0
MMP2	gene	0	0	0	0
MMP9	gene	0	0	0	0
IL10	gene	0	0	0	0
EGF	gene	0	0	0	0
IL6	gene	0	0	0	0
TP53	gene	0	0	0	0
NFKBIA	gene	0	0	0	0
ODC1	gene	0	0	0	0
HIF1A	gene	0	0	0	0
HSPA5	gene	0	0	0	0
CAV1	gene	0	0	0	0
MYC	gene	0	0	0	0
F3	gene	0	0	0	0
GJA1	gene	0	0	0	0
IL1B	gene	0	0	0	0
CCL2	gene	0	0	0	0
PTGER3	gene	0	0	0	0
CXCL8	gene	0	0	0	0
PRKCB	gene	0	0	0	0
BIRC5	gene	0	0	0	0
NOS3	gene	0	0	0	0
HSPB1	gene	0	0	0	0
SULT1E1	gene	0	0	0	0
IL2RA	gene	0	0	0	0
PLAT	gene	0	0	0	0
THBD	gene	0	0	0	0
SERPINE1	gene	0	0	0	0
COL1A1	gene	0	0	0	0
IFNG	gene	0	0	0	0
IL1A	gene	0	0	0	0
MPO	gene	0	0	0	0
ABCG2	gene	0	0	0	0
NFE2L2	gene	0	0	0	0
NQO1	gene	0	0	0	0
