name,Betweenness,Closeness,Degree,Eigenvector,LAC,Network,,,0,0.077433628,5,0.025148619,1,1.5
ABCC1,0,0.007142857,1,0,0,0,,,,,,,,
ABCG2,0,0.007142857,1,0,0,0,,,,,,,,
ADIPOQ,57.81855672,0.074152542,2,0.002781847,0,0,,,,,,,,
PPARG,1762.266008,0.079500284,8,0.041545928,1,1.39047619,,,,,,,,
PPARA,10.53279857,0.070742799,3,7.23E-04,0.666666667,1,,,,,,,,
AHR,201.3966304,0.07751938,3,0.027636137,0.666666667,1,,,,,,,,
ESR1,1222.126441,0.081919251,23,0.220613867,8,13.91971347,,,,,,,,
CYP1A1,210.0978238,0.074428495,9,0.00433606,3.333333333,6.316666667,,,,,,,,
HSP90AA1,761.4097031,0.081018519,23,0.194934502,5.826086957,12.55549085,,,,,,,,
AKT1,1584.083344,0.082401413,32,0.267595798,7.375,19.46018004,,,,,,,,
MAPK1,413.817903,0.081632653,20,0.199508429,7.3,11.53880267,,,,,,,,
CCND1,150.9822827,0.080367394,17,0.170065925,7.294117647,11.13244811,,,,,,,,
MAPK14,30.45010502,0.079590677,9,0.105535224,5.333333333,6.505952381,,,,,,,,
HSPB1,0.852380952,0.078695897,4,0.058506049,2.5,3.333333333,,,,,,,,
MDM2,138.7135356,0.079954312,14,0.145454064,5.571428571,6.963827839,,,,,,,,
MAPK3,448.611072,0.081490105,19,0.181916893,6.315789474,10.19048043,,,,,,,,
STAT3,1647.43726,0.082352941,28,0.252072483,7.285714286,14.39982368,,,,,,,,
EGF,163.9898772,0.078299776,6,0.047638822,1.333333333,1.866666667,,,,,,,,
TP53,3892.920219,0.083135392,42,0.320848078,8.238095238,31.37228115,,,,,,,,
NCF1,244.1244274,0.078607524,8,0.05616473,2.25,2.904761905,,,,,,,,
NOS3,8.96513923,0.07751938,4,0.037187777,2,2.833333333,,,,,,,,
CASP3,923.290797,0.081442699,20,0.166333988,5.5,10.65151661,,,,,,,,
HSPA5,48.77472707,0.077177508,3,0.031431254,0.666666667,1,,,,,,,,
GSK3B,91.00683875,0.079051383,8,0.088822305,4,5.542857143,,,,,,,,
NOS2,21.85877897,0.077262693,3,0.024840144,0.666666667,1,,,,,,,,
CASP9,17.79334359,0.079051383,9,0.087955952,5.555555556,7.25,,,,,,,,
CAV1,481.2580448,0.079455165,11,0.077681676,2.363636364,3.576190476,,,,,,,,
STAT1,317.3032506,0.080229226,12,0.112151876,3.833333333,4.845887446,,,,,,,,
CHUK,29.86024773,0.080137378,8,0.088441186,4.25,5,,,,,,,,
XIAP,68.8207266,0.079500284,9,0.083990395,4.888888889,5.75,,,,,,,,
BCL2L1,208.5413889,0.08004574,13,0.116696008,5.384615385,9.016666667,,,,,,,,
BAD,5.799743506,0.078037904,6,0.071937315,3.333333333,4,,,,,,,,
NFE2L2,435.7281053,0.077907624,6,0.038450018,1.333333333,2.533333333,,,,,,,,
BCL2,826.6838084,0.080645161,21,0.195877552,6.952380952,12.78101896,,,,,,,,
CDKN1A,96.66839535,0.079681275,13,0.136708707,6.769230769,9.01984127,,,,,,,,
TNF,1593.005763,0.081537566,25,0.162428319,7.12,16.41730426,,,,,,,,
IKBKB,23.54579225,0.080091533,7,0.083054811,4.285714286,5,,,,,,,,
