name,Betweenness,Closeness,Degree,Eigenvector,LAC,Network
CTNNB1,17.88708349,0.552238806,10,0.151604503,4.6,5.675
MYC,12.87036147,0.560606061,13,0.213898152,7.692307692,9.527417027
CCL2,4.966389747,0.493333333,10,0.092837527,7,8.857142857
ESR1,51.37338309,0.649122807,17,0.248442665,7.529411765,12.05152486
ESR2,3.986694678,0.456790123,6,0.086903431,3,3.6
CASP8,10.76794483,0.528571429,7,0.098358266,3.428571429,4
TNF,122.4621181,0.637931034,17,0.183976203,6.352941176,11.92001193
CDKN1A,2.540951532,0.513888889,8,0.142097488,5.25,6
BCL2,23.39442081,0.569230769,14,0.213462144,6.857142857,9.226495726
EGFR,14.32470599,0.560606061,9,0.140772462,4,4.625
ICAM1,15.26918812,0.46835443,7,0.070029289,4.285714286,5
BCL2L1,4.327958823,0.521126761,8,0.128541037,5,5.904761905
XIAP,7.035645867,0.528571429,7,0.097985469,4.285714286,5
STAT1,23.30511587,0.552238806,9,0.13790825,4.222222222,4.785714286
CAV1,21.48562294,0.5,7,0.092037447,2.571428571,3.033333333
FOS,28.54937007,0.569230769,12,0.179958582,5.666666667,7.306313131
IL1B,27.94990657,0.560606061,13,0.128341377,6.923076923,10.50815296
MAPK8,21.63520914,0.578125,10,0.15755558,4.4,5.193650794
GSK3B,0.507936508,0.46835443,6,0.104170769,4.333333333,5.2
RB1,0,0.425287356,3,0.050350215,2,3
CASP3,50.46359843,0.616666667,14,0.188492149,5.428571429,8.31990232
PRKCB,0.468965517,0.451219512,4,0.062340904,2.5,3.333333333
CXCL8,8.472495541,0.5,11,0.099716209,6.909090909,9.401587302
TP53,141.5035502,0.685185185,22,0.300109237,8.090909091,17.17774309
RELA,70.68880251,0.596774194,12,0.165564239,5.166666667,6.303030303
IL6,90.42001174,0.616666667,17,0.183827266,6.588235294,12.26435509
STAT3,164.8279739,0.698113208,21,0.291440725,7.428571429,13.93179043
MAPK3,43.52099833,0.606557377,13,0.197609678,5.538461538,7.312121212
CXCL10,3.653846154,0.451219512,8,0.079442628,5.5,6.404761905
MDM2,15.17118565,0.506849315,10,0.149840564,5.2,6.880952381
IFNG,11.30269546,0.528571429,10,0.106851734,6.4,7.954365079
PTGS2,8.105959852,0.521126761,6,0.093926966,3.333333333,4
CCND1,23.32211527,0.552238806,12,0.184021547,6.166666667,8.463780664
CXCL2,0.716584565,0.46835443,7,0.073651642,5.714285714,6.666666667
MAPK1,40.06954364,0.616666667,14,0.219493613,6.714285714,8.913228438
AKT1,87.35303199,0.672727273,19,0.272569686,8,14.15897297
IL4,2.426900671,0.5,7,0.085821964,5.428571429,6.333333333
HSP90AA1,18.87173299,0.560606061,12,0.18958959,6.333333333,7.960750361
