name	Betweenness	Closeness	Degree	Eigenvector	LAC	Network
ESR1	51.37338309	0.649122807	17	0.248442665	7.529411765	12.05152486
TNF	122.4621181	0.637931034	17	0.183976203	6.352941176	11.92001193
BCL2	23.39442081	0.569230769	14	0.213462144	6.857142857	9.226495726
FOS	28.54937007	0.569230769	12	0.179958582	5.666666667	7.306313131
TP53	141.5035502	0.685185185	22	0.300109237	8.090909091	17.17774309
IL6	90.42001174	0.616666667	17	0.183827266	6.588235294	12.26435509
STAT3	164.8279739	0.698113208	21	0.291440725	7.428571429	13.93179043
MAPK3	43.52099833	0.606557377	13	0.197609678	5.538461538	7.312121212
MAPK1	40.06954364	0.616666667	14	0.219493613	6.714285714	8.913228438
AKT1	87.35303199	0.672727273	19	0.272569686	8	14.15897297
HSP90AA1	18.87173299	0.560606061	12	0.18958959	6.333333333	7.960750361
