ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002237	response to molecule of bacterial origin	42/149	375/18860	0.112	14.176644295302	22.9993040038512	1.12902715640558e-36	4.68884978055238e-33	1.98352244635886e-33	CASP9/CASP3/CASP8/PRKCA/NOS2/MAPK14/PPARD/RELA/AKT1/TNF/MAPK8/CYP1A1/SELE/VCAM1/NR1I2/GSTP1/AHR/SLPI/MAPK3/MAPK1/CDK4/FOSL2/MMP3/FOS/MMP9/IL10/IL6/NFKBIA/IL1B/CCL2/CXCL8/NOS3/THBD/SERPINE1/IL1A/MPO/NQO1/CXCL2/HSF1/CXCL10/E2F1/XIAP	42
BP	GO:0032496	response to lipopolysaccharide	39/149	350/18860	0.111428571428571	14.1043144774688	22.0825429916042	6.71502151077517e-34	1.39437421671246e-30	5.89861626393882e-31	CASP9/CASP3/CASP8/PRKCA/NOS2/MAPK14/PPARD/RELA/AKT1/TNF/MAPK8/CYP1A1/SELE/VCAM1/GSTP1/SLPI/MAPK3/MAPK1/CDK4/FOSL2/MMP3/FOS/MMP9/IL10/IL6/NFKBIA/IL1B/CCL2/CXCL8/NOS3/THBD/SERPINE1/IL1A/MPO/NQO1/HSF1/CXCL10/E2F1/XIAP	39
BP	GO:0009410	response to xenobiotic stimulus	42/149	443/18860	0.0948081264108352	12.0005453967004	20.9079090262146	1.2281057435794e-33	1.70010771769508e-30	7.19195960011934e-31	HSP90AA1/SLC6A4/BCL2/CASP3/NOS2/RELA/TNF/STAT1/CYP3A4/CYP1A2/CYP1A1/NR1I2/CYP1B1/GSTP1/AHR/GSTM1/GSTM2/SOD1/CAT/SREBF1/ABCC1/ADIPOQ/CCND1/RB1/CDK4/FOSL2/FOS/MMP2/IL10/TP53/MYC/IL1B/COL1A1/NFE2L2/NQO1/HSF1/CHUK/E2F1/CTNNB1/MDM2/PCNA/DRD2	42
BP	GO:0070482	response to oxygen levels	37/149	357/18860	0.103641456582633	13.1186434305266	20.6286594360149	5.78918127429678e-31	5.35677716834846e-28	2.26607553042787e-28	PTGS2/SLC6A4/BCL2/CASP9/CASP3/PLAU/NOS2/PPARG/CCNA2/DPP4/PPARD/F7/AKT1/TNF/CYP1A1/VCAM1/SLC2A4/BAD/CAT/PPARA/ADIPOQ/STAT3/FOSL2/FOS/MMP2/TP53/HIF1A/CAV1/MYC/PLAT/COL1A1/NFE2L2/HSF1/E2F1/HK2/MDM2/DRD2	37
BP	GO:0036293	response to decreased oxygen levels	36/149	330/18860	0.109090909090909	13.8084197681513	20.9468526438032	6.44928626095409e-31	5.35677716834846e-28	2.26607553042787e-28	PTGS2/SLC6A4/BCL2/CASP9/CASP3/PLAU/NOS2/PPARG/CCNA2/DPP4/PPARD/F7/AKT1/TNF/CYP1A1/VCAM1/SLC2A4/BAD/CAT/PPARA/ADIPOQ/STAT3/FOSL2/FOS/MMP2/TP53/HIF1A/CAV1/MYC/PLAT/NFE2L2/HSF1/E2F1/HK2/MDM2/DRD2	36
BP	GO:0001666	response to hypoxia	35/149	317/18860	0.110410094637224	13.9753985560943	20.7904698249991	3.11521900345484e-30	2.15625075355799e-27	9.12157985397568e-28	PTGS2/SLC6A4/BCL2/CASP9/CASP3/PLAU/NOS2/PPARG/CCNA2/DPP4/PPARD/F7/TNF/CYP1A1/VCAM1/SLC2A4/BAD/CAT/PPARA/ADIPOQ/STAT3/FOSL2/FOS/MMP2/TP53/HIF1A/CAV1/MYC/PLAT/NFE2L2/HSF1/E2F1/HK2/MDM2/DRD2	35
BP	GO:0050727	regulation of inflammatory response	38/149	460/18860	0.0826086956521739	10.4563758389262	18.3230891275033	3.95353863547256e-28	2.3455779933025e-25	9.92249019940405e-26	PTGS2/CASP3/CASP8/ESR1/PPARG/MAPK14/PPARD/RELA/NCF1/IL4/TNF/SELE/ALOX5/GSTP1/AHR/MAPK3/MAPK1/LDLR/SOD1/CYP19A1/PPARA/ABCC1/ADIPOQ/STAT3/RB1/MMP3/MMP9/IL10/IL6/NFKBIA/IL1B/PTGER3/IL2RA/SERPINE1/IFNG/APP/XIAP/PTGES	38
BP	GO:2001233	regulation of apoptotic signaling pathway	36/149	406/18860	0.0886699507389163	11.223592422389	18.5834032577545	1.04620764648859e-27	5.43112544483388e-25	2.29752705524928e-25	PTGS2/BCL2/BAX/PPARG/GSK3B/AR/RELA/AKT1/TNF/HMOX1/ICAM1/GSTP1/BAD/SOD1/RB1/BCL2L1/MMP2/MMP9/IL10/TP53/HIF1A/CAV1/MYC/IL1B/NOS3/HSPB1/SERPINE1/IL1A/NFE2L2/PARP1/HSF1/CD40LG/CTNNB1/MDM2/APP/MCL1	36
BP	GO:0006979	response to oxidative stress	35/149	418/18860	0.0837320574162679	10.5985678045021	17.709020236639	4.41554637936636e-26	2.03752934594539e-23	8.61935310779235e-24	PTGS1/PTGS2/BCL2/CASP3/PRKCA/RELA/AKT1/MAPK8/STAT1/HMOX1/CYP1B1/ALOX5/GSTP1/SOD1/CAT/GSR/ABCC1/ADIPOQ/MMP3/FOS/MMP2/IL6/TP53/HIF1A/NOS3/COL1A1/MPO/NFE2L2/NQO1/PARP1/HSF1/CHUK/MDM2/PCNA/MET	35
BP	GO:0071216	cellular response to biotic stimulus	30/149	274/18860	0.109489051094891	13.8588154607358	19.1331838129281	8.27792040586752e-26	3.0732675868556e-23	1.30008328854525e-23	PRKCA/NOS2/MAPK14/GSK3B/PPARD/RELA/AKT1/TNF/MAPK8/NR1I2/GSTP1/AHR/MAPK3/MAPK1/CDK4/MMP3/MMP9/IL10/IL6/TP53/NFKBIA/HSPA5/IL1B/CCL2/CXCL8/NOS3/SERPINE1/IL1A/HSF1/CXCL10	30
