category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	46/144	216/9423	0.212962962962963	13.9357638888889	23.9586361769181	4.35501119065012e-41	1.15407796552228e-38	3.57569339863905e-39	HSP90AA1/BCL2/BAX/CASP9/CASP3/CASP8/PRKCA/RXRA/PPARG/MAPK14/GSK3B/RELA/NCF1/OLR1/IKBKB/AKT1/TNF/MAPK8/MMP1/CYP1A1/ICAM1/SELE/VCAM1/MAPK3/MAPK1/LDLR/BAD/APOB/RXRB/STAT3/MMP3/BCL2L1/FOS/MMP9/IL6/TP53/NFKBIA/HSPA5/IL1B/CCL2/CXCL8/NOS3/NFE2L2/CXCL2/CHUK/CD40LG	46
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	31/144	101/9423	0.306930693069307	20.0847772277228	24.0212410382319	6.92969683784781e-33	9.18184831014835e-31	2.84482291237963e-31	BCL2/BAX/CASP3/PRKCA/MAPK14/RELA/AKT1/TNF/MAPK8/STAT1/ICAM1/SELE/VCAM1/MAPK3/MAPK1/STAT3/CCND1/CDK4/MMP2/IL6/F3/IL1B/CCL2/CXCL8/PRKCB/NOS3/THBD/SERPINE1/COL1A1/IL1A/COL3A1	31
Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	33/144	142/9423	0.232394366197183	15.2073063380282	21.2500883152382	1.4373177542588e-30	1.26963068292861e-28	3.93371174849777e-29	HSP90AA1/BCL2/KDR/MAPK14/RELA/NCF1/IKBKB/AKT1/TNF/MAPK8/HMOX1/ICAM1/SELE/VCAM1/GSTP1/GSTM1/GSTM2/FOS/MMP2/MMP9/TP53/CAV1/IL1B/CCL2/NOS3/PLAT/THBD/IFNG/IL1A/NFE2L2/NQO1/CHUK/CTNNB1	33
Human Diseases	Infectious disease: viral	hsa05161	Hepatitis B	33/144	163/9423	0.202453987730061	13.2480828220859	19.649822510851	1.86777533681946e-28	1.23740116064289e-26	3.83385463873469e-27	BCL2/BAX/CASP9/CASP3/CASP8/PRKCA/MAPK14/CCNA2/CDK2/RELA/IKBKB/AKT1/TNF/MAPK8/STAT1/MAPK3/MAPK1/BAD/STAT3/RB1/FOS/CDKN1A/MMP9/IL6/TP53/NFKBIA/MYC/CXCL8/PRKCB/BIRC5/CHUK/E2F1/PCNA	33
Human Diseases	Infectious disease: viral	hsa05160	Hepatitis C	32/144	156/9423	0.205128205128205	13.4230769230769	19.4905502738988	8.7701217041103e-28	4.64816450317846e-26	1.44014630088548e-26	BAX/CASP9/CASP3/CASP8/RXRA/GSK3B/CDK2/RELA/IKBKB/AKT1/TNF/STAT1/MAPK3/MAPK1/LDLR/BAD/PPARA/STAT3/CCND1/RB1/CDK4/EGFR/CDKN1A/EGF/TP53/NFKBIA/MYC/IFNG/CXCL10/CHUK/E2F1/CTNNB1	32
Human Diseases	Cancer: specific types	hsa05215	Prostate cancer	28/144	106/9423	0.264150943396226	17.2853773584906	21.0046243932572	1.16774482681637e-27	5.1575396517723e-26	1.59796660511714e-26	HSP90AA1/BCL2/CASP9/PLAU/GSK3B/AR/CDK2/RELA/IKBKB/AKT1/GSTP1/MAPK3/MAPK1/BAD/CCND1/RB1/MMP3/EGFR/CDKN1A/MMP9/EGF/TP53/NFKBIA/PLAT/CHUK/E2F1/CTNNB1/MDM2	28
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	26/144	94/9423	0.276595744680851	18.0997340425532	20.7557267534388	2.72711538696634e-26	1.03240796792297e-24	3.19872180726879e-25	PTGS2/HSP90AA1/CASP3/CASP8/MAPK14/GSK3B/RELA/IL4/IKBKB/TNF/MAPK8/MMP1/MAPK3/MAPK1/MMP3/FOS/MMP9/IL6/NFKBIA/IL1B/CCL2/CXCL8/IFNG/CXCL2/CXCL10/CHUK	26
Human Diseases	Cancer: overview	hsa05207	Chemical carcinogenesis - receptor activation	33/144	217/9423	0.152073732718894	9.95132488479263	16.6181972773009	3.1243083684946e-24	1.03492714706384e-22	3.20652700977077e-23	HSP90AA1/ADRB2/BCL2/PRKCA/RXRA/ESR1/AR/ESR2/RELA/AKT1/CYP3A4/CYP1A2/CYP1A1/CYP1B1/AHR/GSTM1/GSTM2/MAPK3/MAPK1/BAD/PPARA/RXRB/STAT3/CCND1/RB1/EGFR/FOS/EGF/MYC/PRKCB/BIRC5/E2F1/XIAP	33
Human Diseases	Infectious disease: viral	hsa05163	Human cytomegalovirus infection	33/144	227/9423	0.145374449339207	9.51294052863436	16.1731738660796	1.38384601386734e-23	4.07465770749829e-22	1.26245601265091e-22	PTGS2/BAX/CASP9/CASP3/CASP8/PRKCA/MAPK14/GSK3B/RELA/IKBKB/AKT1/TNF/MAPK3/MAPK1/STAT3/CCND1/RB1/CDK4/EGFR/CDKN1A/IL6/TP53/NFKBIA/MYC/IL1B/CCL2/PTGER3/CXCL8/PRKCB/CHUK/E2F1/CTNNB1/MDM2	33
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	26/144	119/9423	0.218487394957983	14.297268907563	18.1845806333571	2.20673980790709e-23	5.84786049095379e-22	1.81184952649214e-22	PTGS2/CASP3/CASP8/MAPK14/RELA/IKBKB/AKT1/TNF/MAPK8/ICAM1/SELE/VCAM1/MAPK3/MAPK1/MMP3/FOS/MMP9/IL6/NFKBIA/IL1B/CCL2/CXCL2/CXCL10/CHUK/IRF1/XIAP	26
Human Diseases	Infectious disease: viral	hsa05167	Kaposi sarcoma-associated herpesvirus infection	31/144	196/9423	0.158163265306122	10.3498086734694	16.4779320619174	2.67551254672226e-23	6.44555295346727e-22	1.99703328846255e-22	PTGS2/BAX/CASP9/CASP3/CASP8/MAPK14/GSK3B/RELA/IKBKB/AKT1/MAPK8/STAT1/ICAM1/MAPK3/MAPK1/STAT3/CCND1/RB1/CDK4/FOS/CDKN1A/IL6/TP53/NFKBIA/HIF1A/MYC/CXCL8/CXCL2/CHUK/E2F1/CTNNB1	31
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	25/144	112/9423	0.223214285714286	14.6065848214286	18.0452203661961	9.41182570844602e-23	2.0784448439485e-21	6.43967022156833e-22	BCL2/CASP9/CASP3/CASP8/NOS2/MAPK14/RELA/IKBKB/AKT1/TNF/MAPK8/STAT1/ALOX5/MAPK3/MAPK1/LDLR/BAD/STAT3/BCL2L1/IL10/NFKBIA/IFNG/CHUK/CD40LG/XIAP	25
Human Diseases	Cancer: specific types	hsa05222	Small cell lung cancer	23/144	93/9423	0.247311827956989	16.1834677419355	18.3304797742717	4.31917286186908e-22	8.80446775688697e-21	2.72789864960153e-21	PTGS2/BCL2/BAX/CASP9/CASP3/RXRA/NOS2/CDK2/RELA/IKBKB/AKT1/RXRB/CCND1/RB1/CDK4/BCL2L1/CDKN1A/TP53/NFKBIA/MYC/CHUK/E2F1/XIAP	23
Human Diseases	Cancer: specific types	hsa05212	Pancreatic cancer	21/144	77/9423	0.272727272727273	17.8465909090909	18.4904173061237	3.21391264642239e-21	6.08347750929953e-20	1.8848510257214e-20	BAX/CASP9/RELA/IKBKB/AKT1/MAPK8/STAT1/MAPK3/MAPK1/BAD/STAT3/CCND1/RB1/CDK4/EGFR/BCL2L1/CDKN1A/EGF/TP53/CHUK/E2F1	21
Human Diseases	Infectious disease: viral	hsa05162	Measles	25/144	136/9423	0.183823529411765	12.0289522058824	16.1386868497457	1.55031261157687e-20	2.7388856137858e-19	8.48592166336812e-20	BCL2/BAX/CASP9/CASP3/CASP8/GSK3B/CDK2/RELA/IKBKB/AKT1/MAPK8/STAT1/BAD/STAT3/CCND1/CDK4/BCL2L1/FOS/IL6/TP53/NFKBIA/IL1B/IL2RA/IL1A/CHUK	25
Human Diseases	Cancer: specific types	hsa05223	Non-small cell lung cancer	20/144	73/9423	0.273972602739726	17.9280821917808	18.0869605891488	2.71165423946003e-20	4.49117733410567e-19	1.39150678077554e-19	BAX/CASP9/PRKCA/RXRA/AKT1/MAPK3/MAPK1/BAD/RXRB/STAT3/CCND1/RB1/CDK4/EGFR/CDKN1A/EGF/TP53/PRKCB/E2F1/MET	20
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	28/144	205/9423	0.136585365853659	8.93780487804878	14.3140063792941	2.6945715220702e-19	4.14728889456026e-18	1.28495941916862e-18	BCL2/BAX/CASP9/CASP3/CASP8/MAPK14/CCNA2/CDK2/RELA/IKBKB/AKT1/TNF/MAPK8/STAT1/ICAM1/STAT3/CCND1/RB1/CDK4/CDKN1A/IL6/TP53/NFKBIA/MYC/CXCL10/CHUK/E2F1/MDM2	28
Human Diseases	Cancer: specific types	hsa05219	Bladder cancer	16/144	41/9423	0.390243902439024	25.5365853658537	19.6137459931779	2.81702641894659e-19	4.14728889456026e-18	1.28495941916862e-18	MMP1/MAPK3/MAPK1/CCND1/RB1/CDK4/EGFR/CDKN1A/MMP2/MMP9/EGF/TP53/MYC/CXCL8/E2F1/MDM2	16
Human Diseases	Cancer: specific types	hsa05225	Hepatocellular carcinoma	26/144	170/9423	0.152941176470588	10.0080882352941	14.7644753721089	3.19930135884378e-19	4.46218347417685e-18	1.38252357889094e-18	BAX/PRKCA/GSK3B/AKT1/HMOX1/GSTP1/GSTM1/GSTM2/MAPK3/MAPK1/BAD/CCND1/RB1/CDK4/EGFR/BCL2L1/CDKN1A/TP53/MYC/PRKCB/NFE2L2/NQO1/E2F1/IGF2/CTNNB1/MET	26
