symbol	entrezID
PTGS1	5742
PTGS2	5743
HSP90AA1	3320
ADRB2	154
SLC6A4	6532
BCL2	596
BAX	581
CASP9	842
CASP3	836
CASP8	841
PRKCA	5578
PON1	5444
NR3C2	4306
RXRA	6256
AKR1B1	231
PLAU	5328
LTA4H	4048
ESR1	2099
NOS2	4843
PPARG	5468
KDR	3791
MAPK14	1432
GSK3B	2932
CCNA2	890
AR	367
ESR2	2100
DPP4	1803
CDK2	1017
PPARD	5467
F7	2155
RELA	5970
NCF1	653361
OLR1	4973
IL4	3565
IKBKB	3551
AKT1	207
TNF	7124
MAPK8	5599
MMP1	4312
STAT1	6772
HMOX1	3162
CYP3A4	1576
CYP1A2	1544
CYP1A1	1543
ICAM1	3383
SELE	6401
VCAM1	7412
NR1I2	8856
CYP1B1	1545
ALOX5	240
HAS2	3037
GSTP1	2950
AHR	196
SLC2A4	6517
INSR	3643
GSTM1	2944
GSTM2	2946
SLPI	6590
MAPK3	5595
MAPK1	5594
LDLR	3949
BAD	572
SOD1	6647
CAT	847
MTTP	4547
APOB	338
HMGCR	3156
CYP19A1	1588
PPARA	5465
SREBF1	6720
GSR	2936
ABCC1	4363
ADIPOQ	9370
SOAT2	8435
CES1	1066
SOAT1	6646
BACE1	23621
CA2	760
RXRB	6257
STAT3	6774
CCND1	595
RB1	5925
CDK4	1019
FOSL2	2355
MMP3	4314
EGFR	1956
BCL2L1	598
FOS	2353
CDKN1A	1026
MMP2	4313
MMP9	4318
IL10	3586
EGF	1950
IL6	3569
TP53	7157
NFKBIA	4792
ODC1	4953
HIF1A	3091
HSPA5	3309
CAV1	857
MYC	4609
F3	2152
GJA1	2697
IL1B	3553
CCL2	6347
PTGER3	5733
CXCL8	3576
PRKCB	5579
BIRC5	332
NOS3	4846
HSPB1	3315
SULT1E1	6783
IL2RA	3559
PLAT	5327
THBD	7056
SERPINE1	5054
COL1A1	1277
IFNG	3458
IL1A	3552
MPO	4353
ABCG2	9429
NFE2L2	4780
NQO1	1728
PARP1	142
COL3A1	1281
CXCL11	6373
CXCL2	2920
HSF1	3297
CXCL10	3627
CHUK	1147
SPP1	6696
RUNX2	860
E2F1	1869
CTSD	1509
IGFBP3	3486
IGF2	3481
CD40LG	959
IRF1	3659
HK2	3099
CTNNB1	1499
MMP10	4319
MDM2	4193
APP	351
PCNA	5111
MCL1	4170
XIAP	331
PTGES	9536
MET	4233
DRD2	1813
