Node1	Node2	Net
MOL000358	PTGS1	target
MOL000358	PTGS2	target
MOL000358	HSP90AA1	target
MOL000358	ADRB2	target
MOL000358	SLC6A4	target
MOL000358	BCL2	target
MOL000358	BAX	target
MOL000358	CASP9	target
MOL000358	CASP3	target
MOL000358	CASP8	target
MOL000358	PRKCA	target
MOL000358	PON1	target
MOL000449	NR3C2	target
MOL000449	RXRA	target
MOL000449	PTGS1	target
MOL000449	PTGS2	target
MOL000449	ADRB2	target
MOL000449	AKR1B1	target
MOL000449	PLAU	target
MOL000449	LTA4H	target
MOL001484	PTGS1	target
MOL001484	PTGS2	target
MOL001484	RXRA	target
MOL001484	ADRB2	target
MOL001484	HSP90AA1	target
MOL001792	PTGS1	target
MOL001792	ESR1	target
MOL001792	PTGS2	target
MOL001792	RXRA	target
MOL001792	ADRB2	target
MOL001792	HSP90AA1	target
MOL001792	SLC6A4	target
MOL002311	NOS2	target
MOL002311	ESR1	target
MOL002311	PPARG	target
MOL002311	PTGS2	target
MOL002311	KDR	target
MOL002311	MAPK14	target
MOL002311	GSK3B	target
MOL002311	CCNA2	target
MOL000239	NOS2	target
MOL000239	PTGS1	target
MOL000239	AR	target
MOL000239	PTGS2	target
MOL000239	ESR2	target
MOL000239	DPP4	target
MOL000239	HSP90AA1	target
MOL000239	CDK2	target
MOL002565	NOS2	target
MOL002565	PTGS1	target
MOL002565	ESR1	target
MOL002565	PTGS2	target
MOL002565	RXRA	target
MOL002565	ADRB2	target
MOL002565	SLC6A4	target
MOL002565	ESR2	target
MOL002565	DPP4	target
MOL002565	HSP90AA1	target
MOL002565	CDK2	target
MOL002565	CCNA2	target
MOL000354	NOS2	target
MOL000354	PTGS1	target
MOL000354	ESR1	target
MOL000354	AR	target
MOL000354	PPARG	target
MOL000354	PTGS2	target
MOL000354	ESR2	target
MOL000354	DPP4	target
MOL000354	MAPK14	target
MOL000354	GSK3B	target
MOL000354	HSP90AA1	target
MOL000354	CDK2	target
MOL000354	CCNA2	target
MOL000354	PPARD	target
MOL000354	AKR1B1	target
MOL000354	F7	target
MOL000354	RELA	target
MOL000354	NCF1	target
MOL000354	OLR1	target
MOL000359	NR3C2	target
MOL003656	NOS2	target
MOL003656	ESR1	target
MOL003656	AR	target
MOL003656	PPARG	target
MOL003656	PTGS2	target
MOL003656	ESR2	target
MOL003656	DPP4	target
MOL003656	MAPK14	target
MOL003656	GSK3B	target
MOL003656	HSP90AA1	target
MOL003656	CDK2	target
MOL003656	CCNA2	target
MOL003896	NOS2	target
MOL003896	PTGS1	target
MOL003896	ESR1	target
MOL003896	AR	target
MOL003896	PPARG	target
MOL003896	PTGS2	target
MOL003896	RXRA	target
MOL003896	ADRB2	target
MOL003896	SLC6A4	target
MOL003896	ESR2	target
MOL003896	DPP4	target
MOL003896	MAPK14	target
MOL003896	GSK3B	target
MOL003896	HSP90AA1	target
MOL003896	CDK2	target
MOL003896	LTA4H	target
MOL003896	CCNA2	target
MOL000392	NOS2	target
MOL000392	PTGS1	target
MOL000392	ESR1	target
MOL000392	AR	target
MOL000392	PPARG	target
MOL000392	PTGS2	target
MOL000392	RXRA	target
MOL000392	ADRB2	target
MOL000392	SLC6A4	target
MOL000392	ESR2	target
MOL000392	DPP4	target
MOL000392	MAPK14	target
MOL000392	GSK3B	target
MOL000392	HSP90AA1	target
MOL000392	CDK2	target
MOL000392	CCNA2	target
MOL000392	IL4	target
MOL000417	NOS2	target
MOL000417	PTGS1	target
MOL000417	ESR1	target
MOL000417	AR	target
MOL000417	PPARG	target
MOL000417	PTGS2	target
MOL000417	RXRA	target
MOL000417	ESR2	target
MOL000417	DPP4	target
MOL000417	MAPK14	target
MOL000417	GSK3B	target
MOL000417	HSP90AA1	target
MOL000417	CDK2	target
MOL000417	CCNA2	target
MOL000417	ADRB2	target
MOL000422	NOS2	target
MOL000422	PTGS1	target
MOL000422	AR	target
MOL000422	PPARG	target
MOL000422	PTGS2	target
MOL000422	HSP90AA1	target
MOL000422	DPP4	target
MOL000422	F7	target
MOL000422	RELA	target
MOL000422	IKBKB	target
MOL000422	AKT1	target
MOL000422	BCL2	target
MOL000422	BAX	target
MOL000422	TNF	target
MOL000422	CASP3	target
MOL000422	MAPK8	target
MOL000422	MMP1	target
MOL000422	STAT1	target
MOL000422	HMOX1	target
