#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC1	ABCG2	9606.ENSP00000382342	9606.ENSP00000498246	0	0	0	0	0.057	0.100	0	0.968	0.971
ADIPOQ	PPARG	9606.ENSP00000389814	9606.ENSP00000287820	0	0	0	0	0.138	0	0.500	0.926	0.965
ADIPOQ	PPARA	9606.ENSP00000389814	9606.ENSP00000385523	0	0	0	0	0.069	0	0	0.912	0.914
AHR	ESR1	9606.ENSP00000242057	9606.ENSP00000405330	0	0	0	0	0.059	0.833	0	0.450	0.906
AHR	CYP1A1	9606.ENSP00000242057	9606.ENSP00000378488	0	0	0	0	0.055	0	0.400	0.957	0.973
AHR	HSP90AA1	9606.ENSP00000242057	9606.ENSP00000335153	0	0	0	0	0	0.869	0.800	0.717	0.992
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.110	0.900	0.872	0.988
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.088	0	0	0.919	0.923
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0.119	0.621	0.246	0.739	0.900	0.535	0.990
AKT1	HSPB1	9606.ENSP00000451828	9606.ENSP00000248553	0	0	0	0	0.050	0.782	0	0.963	0.991
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.891	0.900	0.980	0.999
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0	0.587	0.266	0.110	0.900	0.432	0.957
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0.118	0.096	0.500	0.925	0.966
AKT1	EGF	9606.ENSP00000451828	9606.ENSP00000265171	0	0	0	0	0	0	0	0.933	0.933
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	NCF1	9606.ENSP00000451828	9606.ENSP00000289473	0	0	0	0	0.086	0.101	0	0.993	0.993
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0	0	0	0	0.786	0.900	0.909	0.997
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0.044	0.311	0	0.923	0.945
AKT1	HSPA5	9606.ENSP00000451828	9606.ENSP00000324173	0	0	0	0	0.042	0.637	0	0.924	0.971
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0	0.579	0.138	0.929	0.900	0.428	0.996
AKT1	NOS2	9606.ENSP00000451828	9606.ENSP00000327251	0	0	0	0	0	0.045	0.900	0.775	0.976
AKT1	CASP9	9606.ENSP00000451828	9606.ENSP00000330237	0	0	0	0	0.085	0.067	0.900	0.887	0.989
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.049	0.883	0.900	0.996	0.999
AKT1	CAV1	9606.ENSP00000451828	9606.ENSP00000339191	0	0	0	0	0.074	0.046	0.500	0.875	0.937
AKT1	STAT1	9606.ENSP00000451828	9606.ENSP00000354394	0	0	0	0	0.106	0.096	0.400	0.930	0.961
AKT1	CHUK	9606.ENSP00000451828	9606.ENSP00000359424	0	0	0	0.594	0.110	0.835	0.900	0.814	0.996
AKT1	XIAP	9606.ENSP00000451828	9606.ENSP00000360242	0	0	0	0	0.049	0.786	0	0.725	0.939
AKT1	BCL2L1	9606.ENSP00000451828	9606.ENSP00000365230	0	0	0	0	0.095	0.292	0.900	0.888	0.991
AKT1	BAD	9606.ENSP00000451828	9606.ENSP00000378040	0	0	0	0	0.060	0.860	0.900	0.572	0.993
AKT1	NFE2L2	9606.ENSP00000451828	9606.ENSP00000380252	0	0	0	0	0.049	0.317	0.400	0.825	0.923
AKT1	BCL2	9606.ENSP00000451828	9606.ENSP00000381185	0	0	0	0	0	0	0.900	0.934	0.993
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0	0	0	0	0.776	0.900	0.833	0.995
AKT1	TNF	9606.ENSP00000451828	9606.ENSP00000398698	0	0	0	0	0.074	0.057	0	0.903	0.907
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.314	0	0.877	0.913
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0	0	0.601	0.152	0.775	0.900	0.570	0.990
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.229	0	0.916	0.932
AKT1	MYC	9606.ENSP00000451828	9606.ENSP00000478887	0	0	0	0	0	0.169	0	0.918	0.928
AKT1	CTNNB1	9606.ENSP00000451828	9606.ENSP00000495360	0	0	0	0	0.074	0.539	0.400	0.930	0.979
ALOX5	LTA4H	9606.ENSP00000363512	9606.ENSP00000228740	0	0	0	0	0.104	0.050	0.900	0.924	0.992
ALOX5	PTGS1	9606.ENSP00000363512	9606.ENSP00000354612	0	0	0	0	0.130	0	0.900	0.692	0.970
ALOX5	PTGS2	9606.ENSP00000363512	9606.ENSP00000356438	0	0	0	0	0.072	0	0.900	0.741	0.973
APOB	PON1	9606.ENSP00000233242	9606.ENSP00000222381	0	0	0	0	0.148	0	0.720	0.818	0.952
APOB	LDLR	9606.ENSP00000233242	9606.ENSP00000454071	0	0	0	0	0.045	0.422	0.900	0.295	0.955
APOB	MTTP	9606.ENSP00000233242	9606.ENSP00000427679	0	0	0	0	0.620	0.622	0.750	0.999	0.999
APP	CASP3	9606.ENSP00000284981	9606.ENSP00000311032	0	0	0	0	0.060	0.603	0	0.774	0.908
